"subj_idx","stim","stim_PM","stim_noPM","rt","response","trialno","TBdist","TSdist","SBdist","Helpful"
"1","Rem","PM","noPM","0.93184","1","28","0.016528","0.25","0.23347","7"
"1","Rem","PM","noPM","1.0771","1","29","0.016528","0.25","0.26653","7"
"1","Rem","PM","noPM","0.80034","1","30","0.016528","0.25","0.23347","7"
"1","Rem","PM","noPM","1.0492","1","1","0.00013889","0.33333","0.33347","7"
"1","Rem","PM","noPM","0.61972","1","2","0.00013889","0.33333","0.33347","7"
"1","Rem","PM","noPM","0.6159","1","3","0.00013889","0.16667","0.16653","7"
"1","Rem","PM","noPM","0.47828","1","4","0.00013889","0.16667","0.16653","7"
"1","Rem","PM","noPM","0.53159","1","5","0.00013889","0.41667","0.41681","7"
"1","Rem","PM","noPM","0.57368","1","6","0.00013889","0.5","0.49986","7"
"1","Rem","PM","noPM","0.54955","1","7","0.00013889","0.33333","0.33319","7"
"1","Rem","PM","noPM","0.74311","1","8","0.00013889","0.33333","0.33319","7"
"1","Rem","PM","noPM","0.63133","1","9","0.00013889","0.5","0.49986","7"
"1","Rem","PM","noPM","0.58889","1","10","0.00013889","0.16667","0.16681","7"
"1","Rem","PM","noPM","0.5657","1","11","0.00013889","0.083333","0.083472","7"
"1","Rem","PM","noPM","0.76524","1","12","0.00013889","0.41667","0.41681","7"
